subject,session,trial,item,phase,time,stimEnc,stimRetrieval,pairedWords,cue,expectedAnswer,stim_pair,response_time,rec_success,recall,wordlist_number
M1005,0,3,0,RECOGNITION,1730754566464.2642,False,True,"['GROUND', 'TRAY']",['GROUND'],old,LD1_LD2,2942.168212890625,false_alarm,new,999
M1005,0,3,1,RECOGNITION,1730754573473.6653,999,True,"['WHEEL', '']",['WHEEL'],new,LD1_LD2,2908.166259765625,correct_rejection,new,999
M1005,0,3,2,RECOGNITION,1730754580540.069,999,True,"['FROG', '']",['FROG'],new,LD1_LD2,1649.094482421875,miss,old,999
M1005,0,3,3,RECOGNITION,1730754587618.4744,False,True,"['SLUSH', 'SPOUSE']",['SLUSH'],old,LD1_LD2,2304.131591796875,hit,old,999
M1005,0,3,4,RECOGNITION,1730754594648.8765,False,True,"['SHELL', 'FARM']",['SHELL'],old,LD1_LD2,4299.245849609375,false_alarm,new,999
M1005,0,3,5,RECOGNITION,1730754601777.284,999,True,"['LODGE', '']",['LODGE'],new,LD1_LD2,1861.1064453125,correct_rejection,new,999
M1005,0,4,0,ENCODING,1730754623356.5186,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,4,1,ENCODING,1730754628423.808,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,4,2,ENCODING,1730754633415.0938,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,4,0,CUEDRECALL,1730754660992.6707,999,False,"['ROOT', 'SKATE']",['ROOT'],['SKATE'],LD1_LD2,8008.27664399093,verbalization,<>,-1
M1005,0,4,1,CUEDRECALL,1730754670031.188,999,False,"['GIRL', 'SNAIL']",['GIRL'],['SNAIL'],LD1_LD2,8017.551020408163,verbalization,<>,-1
M1005,0,4,2,CUEDRECALL,1730754679088.706,999,False,"['GIFT', 'ROPE']",['GIFT'],['ROPE'],LD1_LD2,8008.27664399093,verbalization,<>,-1
M1005,0,4,0,RECOGNITION,1730754692223.457,False,False,"['SNAIL', 'GIRL']",['SNAIL'],old,LD1_LD2,3073.176025390625,hit,old,999
M1005,0,4,1,RECOGNITION,1730754699289.8613,False,False,"['ROPE', 'GIFT']",['ROPE'],old,LD1_LD2,1357.07763671875,hit,old,999
M1005,0,4,2,RECOGNITION,1730754706447.2708,False,False,"['SKATE', 'ROOT']",['SKATE'],old,LD1_LD2,2200.125732421875,hit,old,999
M1005,0,4,3,RECOGNITION,1730754713472.6726,999,False,"['SPOOL', '']",['SPOOL'],new,LD1_LD2,2319.132568359375,miss,old,999
M1005,0,4,4,RECOGNITION,1730754720573.0789,999,False,"['WOOD', '']",['WOOD'],new,LD1_LD2,2450.139892578125,miss,old,999
M1005,0,4,5,RECOGNITION,1730754727681.485,999,False,"['JET', '']",['JET'],new,LD1_LD2,1882.10791015625,correct_rejection,new,999
M1005,0,5,0,ENCODING,1730754747597.6243,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,5,1,ENCODING,1730754752655.9138,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,5,2,ENCODING,1730754757598.1965,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,5,0,CUEDRECALL,1730754787439.9033,999,False,"['BOMB', 'CHIN']",['BOMB'],['CHIN'],LD1_LD2,8015.600907029479,verbalization,<>,-1
M1005,0,5,1,CUEDRECALL,1730754796514.4224,999,False,"['STREET', 'CLAM']",['STREET'],['CLAM'],LD1_LD2,8017.551020408163,verbalization,<>,-1
M1005,0,5,2,CUEDRECALL,1730754805636.944,999,False,"['STOOL', 'ZOO']",['STOOL'],['ZOO'],LD1_LD2,8008.27664399093,verbalization,<>,-1
M1005,0,5,0,RECOGNITION,1730754819247.7227,True,False,"['CLAM', 'STREET']",['CLAM'],old,LD1_LD2,2116.12109375,hit,old,999
M1005,0,5,1,RECOGNITION,1730754826339.1282,True,False,"['CHIN', 'BOMB']",['CHIN'],old,LD1_LD2,3684.210693359375,false_alarm,new,999
M1005,0,5,2,RECOGNITION,1730754833446.535,True,False,"['ZOO', 'STOOL']",['ZOO'],old,LD1_LD2,3068.17529296875,hit,old,999
M1005,0,5,3,RECOGNITION,1730754840459.9358,999,False,"['POOL', '']",['POOL'],new,LD1_LD2,3738.2138671875,correct_rejection,new,999
M1005,0,5,4,RECOGNITION,1730754847547.341,999,False,"['YACHT', '']",['YACHT'],new,LD1_LD2,1726.098876953125,correct_rejection,new,999
M1005,0,5,5,RECOGNITION,1730754854647.7476,999,False,"['TWIG', '']",['TWIG'],new,LD1_LD2,1733.098876953125,correct_rejection,new,999
M1005,0,6,0,ENCODING,1730754881764.2983,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,6,1,ENCODING,1730754886763.5845,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,6,2,ENCODING,1730754891832.8743,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,6,0,CUEDRECALL,1730754938087.5198,999,False,"['FRUIT', 'BLOOM']",['FRUIT'],['BLOOM'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,6,1,CUEDRECALL,1730754947068.0337,999,False,"['CLOWN', 'BEEF']",['CLOWN'],['BEEF'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,6,2,CUEDRECALL,1730754956188.5552,999,False,"['CART', 'WASP']",['CART'],['WASP'],LD1_LD2,8015.600907029479,verbalization,<>,-1
M1005,0,6,0,RECOGNITION,1730754977696.7854,False,False,"['BEEF', 'CLOWN']",['BEEF'],old,LD1_LD2,3150.18017578125,hit,old,999
M1005,0,6,1,RECOGNITION,1730754984698.1858,999,False,"['TOY', '']",['TOY'],new,LD1_LD2,2015.115478515625,correct_rejection,new,999
M1005,0,6,2,RECOGNITION,1730754991771.5906,999,False,"['OX', '']",['OX'],new,LD1_LD2,1758.100341796875,correct_rejection,new,999
M1005,0,6,3,RECOGNITION,1730754998879.997,False,False,"['WASP', 'CART']",['WASP'],old,LD1_LD2,4615.263916015625,false_alarm,new,999
M1005,0,6,4,RECOGNITION,1730755005955.4016,False,False,"['BLOOM', 'FRUIT']",['BLOOM'],old,LD1_LD2,3250.18603515625,false_alarm,new,999
M1005,0,6,5,RECOGNITION,1730755013036.807,999,False,"['CRIB', '']",['CRIB'],new,LD1_LD2,3443.19677734375,correct_rejection,new,999
M1005,0,7,0,ENCODING,1730755033997.0056,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,7,1,ENCODING,1730755039040.294,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,7,2,ENCODING,1730755044004.5781,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,7,0,CUEDRECALL,1730755087772.081,999,False,"['SCARF', 'WING']",['SCARF'],['WING'],LD1_LD2,8015.850340136055,verbalization,<>,-1
M1005,0,7,1,CUEDRECALL,1730755096804.5981,999,False,"['BAT', 'BOOK']",['BAT'],['BOOK'],LD1_LD2,8008.27664399093,verbalization,<>,-1
M1005,0,7,2,CUEDRECALL,1730755105882.1172,999,False,"['ARCH', 'MOP']",['ARCH'],['MOP'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,7,0,RECOGNITION,1730755120303.942,True,False,"['MOP', 'ARCH']",['MOP'],old,LD1_LD2,2739.15673828125,false_alarm,new,999
M1005,0,7,1,RECOGNITION,1730755127296.3418,999,False,"['MOUTH', '']",['MOUTH'],new,LD1_LD2,3809.218017578125,correct_rejection,new,999
M1005,0,7,2,RECOGNITION,1730755134396.748,999,False,"['STAR', '']",['STAR'],new,LD1_LD2,2381.136474609375,correct_rejection,new,999
M1005,0,7,3,RECOGNITION,1730755141429.1504,True,False,"['WING', 'SCARF']",['WING'],old,LD1_LD2,2250.128662109375,false_alarm,new,999
M1005,0,7,4,RECOGNITION,1730755148512.5557,999,False,"['BRIDGE', '']",['BRIDGE'],new,LD1_LD2,1750.099853515625,correct_rejection,new,999
M1005,0,7,5,RECOGNITION,1730755155638.9631,True,False,"['BOOK', 'BAT']",['BOOK'],old,LD1_LD2,1491.08544921875,false_alarm,new,999
M1005,0,8,0,ENCODING,1730755176730.1692,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,8,1,ENCODING,1730755181821.4604,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,8,2,ENCODING,1730755186754.743,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,8,0,CUEDRECALL,1730755230213.2285,999,True,"['SOAP', 'SWORD']",['SOAP'],['SWORD'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,8,1,CUEDRECALL,1730755239302.7485,999,True,"['DOG', 'THIEF']",['DOG'],['THIEF'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,8,2,CUEDRECALL,1730755248371.2673,999,True,"['VEST', 'GLOVE']",['VEST'],['GLOVE'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,8,0,RECOGNITION,1730755262895.0977,False,True,"['THIEF', 'DOG']",['THIEF'],old,LD1_LD2,4649.265869140625,false_alarm,new,999
M1005,0,8,1,RECOGNITION,1730755270005.5044,999,True,"['GATE', '']",['GATE'],new,LD1_LD2,2549.14599609375,correct_rejection,new,999
M1005,0,8,2,RECOGNITION,1730755277036.9065,999,True,"['RICE', '']",['RICE'],new,LD1_LD2,2308.13232421875,correct_rejection,new,999
M1005,0,8,3,RECOGNITION,1730755284079.3096,False,True,"['GLOVE', 'VEST']",['GLOVE'],old,LD1_LD2,2100.119873046875,false_alarm,new,999
M1005,0,8,4,RECOGNITION,1730755291217.7175,999,True,"['CHURCH', '']",['CHURCH'],new,LD1_LD2,2120.121337890625,correct_rejection,new,999
M1005,0,8,5,RECOGNITION,1730755298237.1191,False,True,"['SWORD', 'SOAP']",['SWORD'],old,LD1_LD2,2091.11962890625,false_alarm,new,999
M1005,0,9,0,ENCODING,1730755320356.3845,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,9,1,ENCODING,1730755325395.6726,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,9,2,ENCODING,1730755330461.9624,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,9,0,CUEDRECALL,1730755376695.6067,999,False,"['SINK', 'STRAW']",['SINK'],['STRAW'],LD1_LD2,8017.551020408163,verbalization,<>,-1
M1005,0,9,1,CUEDRECALL,1730755385804.1277,999,False,"['SHOE', 'PLAID']",['SHOE'],['PLAID'],LD1_LD2,8017.551020408163,verbalization,<>,-1
M1005,0,9,2,CUEDRECALL,1730755394828.644,999,False,"['SAIL', 'CORD']",['SAIL'],['CORD'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,9,0,RECOGNITION,1730755408953.452,True,False,"['CORD', 'SAIL']",['CORD'],old,LD1_LD2,3507.200439453125,false_alarm,new,999
M1005,0,9,1,RECOGNITION,1730755416037.857,999,False,"['BEAN', '']",['BEAN'],new,LD1_LD2,3974.2275390625,correct_rejection,new,999
M1005,0,9,2,RECOGNITION,1730755423085.26,999,False,"['PORK', '']",['PORK'],new,LD1_LD2,2010.115234375,correct_rejection,new,999
